ring_id,vertex_id,x,y
0,0,-1.31496e+06,314472
0,1,-1.31358e+06,313604
0,2,-1.3198e+06,311263
0,3,-1.32111e+06,307544
0,4,-1.32267e+06,307629
0,5,-1.3259e+06,303672
0,6,-1.32615e+06,298205
0,7,-1.32717e+06,297327
0,8,-1.32602e+06,289396
0,9,-1.32718e+06,289702
0,10,-1.32849e+06,283332
0,11,-1.3274e+06,280841
0,12,-1.32909e+06,276581
0,13,-1.32662e+06,271600
0,14,-1.32432e+06,269404
0,15,-1.32355e+06,266640
0,16,-1.32096e+06,265261
0,17,-1.32257e+06,263024
0,18,-1.32084e+06,259180
0,19,-1.31854e+06,248201
0,20,-1.31943e+06,236983
0,21,-1.31657e+06,235061
0,22,-1.31974e+06,235364
0,23,-1.31503e+06,229033
0,24,-1.31177e+06,236200
0,25,-1.30672e+06,242187
0,26,-1.30257e+06,241627
0,27,-1.30463e+06,237867
0,28,-1.30206e+06,231995
0,29,-1.30396e+06,232191
0,30,-1.30298e+06,229642
0,31,-1.3051e+06,225561
0,32,-1.3034e+06,222588
0,33,-1.30099e+06,223961
0,34,-1.29924e+06,206686
0,35,-1.2964e+06,207030
0,36,-1.29883e+06,205973
0,37,-1.29505e+06,199858
0,38,-1.29041e+06,198302
0,39,-1.29495e+06,199181
0,40,-1.29639e+06,194620
0,41,-1.29547e+06,190853
0,42,-1.28639e+06,193764
0,43,-1.28155e+06,196530
0,44,-1.27503e+06,203135
0,45,-1.27432e+06,207868
0,46,-1.2771e+06,209357
0,47,-1.27937e+06,213388
0,48,-1.27963e+06,218358
0,49,-1.28108e+06,222105
0,50,-1.27839e+06,230220
0,51,-1.28109e+06,231958
0,52,-1.27466e+06,237494
0,53,-1.26932e+06,236891
0,54,-1.27239e+06,241066
0,55,-1.27232e+06,242315
0,56,-1.2767e+06,250435
0,57,-1.27604e+06,252813
0,58,-1.27832e+06,259098
0,59,-1.28153e+06,260786
0,60,-1.27715e+06,266231
0,61,-1.27578e+06,265962
0,62,-1.27291e+06,269758
0,63,-1.26544e+06,268695
0,64,-1.25676e+06,274713
0,65,-1.26315e+06,275763
0,66,-1.26869e+06,272686
0,67,-1.27219e+06,273883
0,68,-1.27614e+06,269341
0,69,-1.27729e+06,275704
0,70,-1.27954e+06,278925
0,71,-1.28215e+06,277558
0,72,-1.2832e+06,281579
0,73,-1.27217e+06,288732
0,74,-1.28402e+06,281680
0,75,-1.28347e+06,274459
0,76,-1.28574e+06,272021
0,77,-1.2837e+06,260252
0,78,-1.28918e+06,254374
0,79,-1.29924e+06,257865
0,80,-1.31439e+06,260948
0,81,-1.29858e+06,257926
0,82,-1.29289e+06,256123
0,83,-1.29521e+06,264172
0,84,-1.29149e+06,269391
0,85,-1.29441e+06,272342
0,86,-1.2945e+06,279876
0,87,-1.29721e+06,282795
0,88,-1.302e+06,281984
0,89,-1.3036e+06,286521
0,90,-1.3063e+06,288798
0,91,-1.31069e+06,301277
0,92,-1.30751e+06,304160
0,93,-1.30895e+06,307618
0,94,-1.30665e+06,307745
0,95,-1.30503e+06,310203
0,96,-1.30745e+06,314734
0,97,-1.31224e+06,317426
0,98,-1.31198e+06,314986
Total signed area in input: 3.406772e+09
Total signed area in output: 3.406772e+09
Total areal displacement: 1.482193e+08
