ring_id,vertex_id,x,y
0,0,-1.54546e+06,-262632
0,1,-1.54412e+06,-263270
0,2,-1.54567e+06,-265822
0,3,-1.54929e+06,-259177
0,4,-1.55014e+06,-260821
0,5,-1.54658e+06,-269357
0,6,-1.54895e+06,-270816
0,7,-1.55179e+06,-275401
0,8,-1.55579e+06,-278355
0,9,-1.55462e+06,-285577
0,10,-1.55631e+06,-290541
0,11,-1.55974e+06,-295153
0,12,-1.56032e+06,-299499
0,13,-1.56671e+06,-297655
0,14,-1.57543e+06,-299063
0,15,-1.57691e+06,-297203
0,16,-1.5809e+06,-298956
0,17,-1.58388e+06,-294891
0,18,-1.58352e+06,-298485
0,19,-1.58688e+06,-297853
0,20,-1.58901e+06,-300076
0,21,-1.58949e+06,-298406
0,22,-1.59875e+06,-295578
0,23,-1.59436e+06,-298258
0,24,-1.59207e+06,-303633
0,25,-1.59334e+06,-306198
0,26,-1.59069e+06,-310135
0,27,-1.58763e+06,-309254
0,28,-1.58558e+06,-311151
0,29,-1.5863e+06,-304624
0,30,-1.58252e+06,-303423
0,31,-1.57643e+06,-298992
0,32,-1.57598e+06,-300877
0,33,-1.57097e+06,-298367
0,34,-1.56837e+06,-300063
0,35,-1.56808e+06,-304573
0,36,-1.56377e+06,-308608
0,37,-1.56614e+06,-313522
0,38,-1.56066e+06,-308452
0,39,-1.56116e+06,-305556
0,40,-1.55916e+06,-308243
0,41,-1.55695e+06,-303555
0,42,-1.55275e+06,-307739
0,43,-1.55351e+06,-310494
0,44,-1.5541e+06,-310515
0,45,-1.55408e+06,-315859
0,46,-1.55085e+06,-315927
0,47,-1.54757e+06,-320660
0,48,-1.54053e+06,-319460
0,49,-1.53782e+06,-320648
0,50,-1.53387e+06,-314314
0,51,-1.53332e+06,-311614
0,52,-1.52853e+06,-303201
0,53,-1.52664e+06,-302338
0,54,-1.52594e+06,-304286
0,55,-1.52397e+06,-303083
0,56,-1.52233e+06,-305866
0,57,-1.52382e+06,-311137
0,58,-1.52219e+06,-312323
0,59,-1.52089e+06,-310560
0,60,-1.51821e+06,-311200
0,61,-1.51849e+06,-315485
0,62,-1.51637e+06,-316205
0,63,-1.51653e+06,-318843
0,64,-1.51574e+06,-320406
0,65,-1.50978e+06,-323256
0,66,-1.50844e+06,-327516
0,67,-1.50922e+06,-323133
0,68,-1.51515e+06,-320687
0,69,-1.51648e+06,-318751
0,70,-1.51598e+06,-316154
0,71,-1.51815e+06,-315474
0,72,-1.5182e+06,-311061
0,73,-1.52035e+06,-310420
0,74,-1.52301e+06,-310871
0,75,-1.52098e+06,-306275
0,76,-1.52311e+06,-303835
0,77,-1.52183e+06,-300906
0,78,-1.52214e+06,-296532
0,79,-1.52448e+06,-301819
0,80,-1.5274e+06,-301422
0,81,-1.53081e+06,-305804
0,82,-1.53209e+06,-305764
0,83,-1.53766e+06,-312973
0,84,-1.53836e+06,-318547
0,85,-1.54555e+06,-319970
0,86,-1.54587e+06,-317644
0,87,-1.54831e+06,-318081
0,88,-1.54733e+06,-314356
0,89,-1.55009e+06,-312681
0,90,-1.5492e+06,-309576
0,91,-1.55449e+06,-300321
0,92,-1.55495e+06,-295279
0,93,-1.55303e+06,-290935
0,94,-1.55035e+06,-279810
0,95,-1.54416e+06,-272184
0,96,-1.5449e+06,-264703
0,97,-1.54309e+06,-263557
0,98,-1.54325e+06,-258025
Total signed area in input: 5.540650e+08
Total signed area in output: 5.540650e+08
Total areal displacement: 2.332357e+08
