ring_id,vertex_id,x,y
0,0,1450337.26198190,-1381357.99808063
0,1,1453893.29389506,-1382930.97401124
0,2,1454542.45103254,-1384969.92651046
0,3,1453886.95009069,-1386585.28280646
0,4,1453112.62916115,-1386926.68318462
0,5,1451260.16021325,-1385727.90805131
0,6,1451311.72243865,-1384543.16026575
0,7,1450345.45090996,-1382376.22163146
0,8,1450579.21662186,-1383891.81463309
0,9,1451115.60298897,-1384591.40612758
0,10,1450916.06742842,-1385410.52813264
0,11,1451330.23140141,-1387157.03548617
0,12,1450132.15320098,-1388180.82903543
0,13,1449533.29373355,-1390685.48229603
0,14,1448317.92352741,-1389823.26604077
0,15,1446380.98293276,-1391682.27089506
0,16,1446202.74151865,-1393190.86583085
0,17,1445525.10473024,-1394096.47276007
0,18,1444247.00141665,-1394149.49514639
0,19,1444437.35882034,-1395032.43478716
0,20,1443828.42199945,-1395622.51360852
0,21,1442026.27713742,-1399447.57298473
0,22,1441033.07491573,-1399941.63731729
0,23,1440005.62894063,-1399638.53065430
0,24,1438896.38729170,-1400286.29999720
0,25,1438376.04633438,-1401397.00987845
0,26,1436842.43883203,-1400814.13130889
0,27,1435108.41825242,-1401796.93367317
0,28,1433341.32879139,-1402110.36420768
0,29,1433562.41257083,-1402922.26668398
0,30,1433928.21204503,-1402207.48932617
0,31,1435268.35800917,-1402350.85357068
0,32,1433467.53966737,-1403408.31030365
0,33,1432713.94631362,-1401015.95756814
0,34,1432402.87408156,-1401352.04171232
0,35,1433063.67840011,-1402278.42854364
0,36,1431519.32322404,-1403347.05080442
0,37,1432948.48824784,-1405060.79820088
0,38,1431667.08622903,-1405771.82117347
0,39,1430718.46019861,-1406854.37643248
0,40,1433173.10761476,-1405241.77104496
0,41,1435451.68206362,-1402811.41529039
0,42,1436864.46667549,-1402571.74889179
0,43,1438385.96765770,-1403124.82566257
0,44,1436919.51251266,-1404446.09194499
0,45,1436523.50392026,-1406238.22790280
0,46,1438426.69914696,-1404887.08285183
0,47,1438734.41981941,-1402720.18820447
0,48,1439880.27232535,-1403376.03313459
0,49,1444692.49431833,-1410643.91246420
0,50,1445690.24760103,-1411796.35593148
0,51,1447103.69208123,-1416325.78641879
0,52,1447923.74938313,-1417866.34266657
0,53,1447761.97920782,-1419376.91190191
0,54,1449023.07712456,-1419689.88078194
0,55,1448494.56532771,-1420326.63852568
0,56,1450552.49383005,-1421708.92982169
0,57,1451435.92503978,-1422775.17577132
0,58,1451295.21188253,-1424585.86940036
0,59,1451917.32383163,-1423359.45135407
0,60,1453337.68701677,-1423252.36230013
0,61,1455760.37818185,-1423742.77563900
0,62,1457267.49620647,-1426266.48810622
0,63,1458703.17162780,-1427488.76664993
0,64,1459293.61687962,-1427452.29126258
0,65,1460214.14720575,-1428362.22993068
0,66,1461039.98776570,-1427931.70468190
0,67,1461504.74676951,-1425726.57425656
0,68,1463052.75408241,-1425441.72328905
0,69,1463953.21788658,-1427278.47774531
0,70,1464899.97276982,-1426927.43551246
0,71,1465390.33120712,-1425068.61278842
0,72,1467253.61358450,-1423816.97022260
0,73,1467787.56754643,-1422711.30011256
0,74,1467638.99075827,-1421516.28131943
0,75,1468596.92538965,-1419778.10256435
0,76,1469557.56884233,-1419862.76965908
0,77,1470345.82903610,-1421100.43560690
0,78,1471163.12310000,-1420872.09470000
0,79,1472064.85259226,-1419534.92945400
0,80,1471560.35864576,-1416380.40056270
0,81,1472034.08034781,-1415332.85301060
0,82,1475349.30686681,-1412160.89116819
0,83,1475781.73518445,-1410190.27689146
0,84,1477934.90431984,-1405068.04401462
0,85,1477224.83678888,-1402527.85252142
0,86,1476846.80007844,-1397356.91897289
0,87,1472397.17793014,-1388801.00429900
0,88,1469875.03900782,-1384679.59306984
0,89,1467974.72088248,-1383194.77836779
0,90,1466044.71669776,-1379759.36431212
0,91,1464282.16568726,-1379149.79206153
0,92,1463665.83407739,-1377394.05150392
0,93,1461516.29796964,-1375296.33089079
0,94,1460043.34415823,-1374302.55552858
0,95,1458324.46753483,-1373930.01727827
0,96,1455262.42735552,-1372330.37345572
0,97,1451786.71119572,-1374007.66680789
0,98,1449141.01506847,-1379301.70263029
Total signed area in input: 1.305116e+09
Total signed area in output: 1.305116e+09
Total areal displacement: 1.244310e+07
