ring_id,vertex_id,x,y
0,0,1902016.51819880,713857.85457730
0,1,1901794.37602904,713633.06605875
0,2,1901182.35359049,714878.17141647
0,3,1901655.45762258,715662.11220215
0,4,1901567.15205219,716391.23080859
0,5,1901292.30515263,716393.00304463
0,6,1901399.62523571,717732.79360787
0,7,1901094.24927399,717962.33042720
0,8,1901467.41246306,718336.15426139
0,9,1900633.59881167,718709.31656663
0,10,1899680.60512599,718619.18689473
0,11,1899773.84019572,718995.45543404
0,12,1899059.46594358,719219.77627567
0,13,1898771.23916615,720468.49334257
0,14,1898632.66721354,720149.78621502
0,15,1898966.79063931,718704.32625969
0,16,1898378.93294783,718893.23870882
0,17,1898064.67661578,717929.44084499
0,18,1896950.05065281,717891.95593023
0,19,1896785.20156395,718540.81168537
0,20,1895999.27224598,717814.30760142
0,21,1895478.78361689,717941.39214156
0,22,1894672.59562582,717827.14577497
0,23,1894824.59079427,718255.59276437
0,24,1893709.77267596,718562.81330609
0,25,1892626.74605736,720114.72809723
0,26,1891841.52161124,721727.48544008
0,27,1891945.15816471,720581.67878897
0,28,1894412.57087879,717315.44397592
0,29,1894362.48811395,715954.37040533
0,30,1893443.07620889,714129.86996775
0,31,1893589.16308079,713335.78926768
0,32,1894079.64358387,713368.05461121
0,33,1893756.35361858,712543.32955080
0,34,1893981.30575601,711569.00360323
0,35,1894433.28630465,710936.28719784
0,36,1894060.94262182,710586.02397928
0,37,1894516.48579435,710719.84959688
0,38,1895139.41836593,709339.43503727
0,39,1897145.40197398,708406.23221237
0,40,1899439.21367665,707895.33077061
0,41,1900608.27443781,708350.89746479
0,42,1900928.52262961,707754.80231889
0,43,1901239.83841432,707704.97469319
0,44,1901726.95904022,707012.70705417
0,45,1902275.52640420,707166.37394537
0,46,1901845.73327559,706585.43933190
0,47,1902475.40627640,706032.55500808
0,48,1902112.00103966,705320.93690974
0,49,1903280.56779400,704655.60508474
0,50,1903907.64897766,704995.37098376
0,51,1904458.43131531,704225.17063024
0,52,1904228.45996300,703849.81928047
0,53,1904072.21567491,704224.02966978
0,54,1903401.54105492,703310.91787970
0,55,1902455.89695433,703598.52311222
0,56,1903342.47818362,702779.36624835
0,57,1903993.30640722,703679.68243335
0,58,1904765.08805629,702079.15333347
0,59,1905824.68188487,702358.01944449
0,60,1905757.21741958,702728.72029615
0,61,1906486.17173380,703720.34895043
0,62,1905921.80235110,704137.27054959
0,63,1905928.59536132,705574.19937403
0,64,1905718.04387023,706332.28406609
0,65,1906047.11315702,706671.36231463
0,66,1906242.64151712,707574.07952489
0,67,1905574.11731471,710331.83522227
0,68,1905809.33195252,711326.04654051
0,69,1905771.23137437,712331.61550159
0,70,1906937.27703152,712538.28000440
0,71,1906649.89221506,711891.79612427
0,72,1907066.81979587,711741.26750174
0,73,1907941.93566325,710518.59271742
0,74,1907907.69170242,711847.82318934
0,75,1907381.72493054,712603.72950413
0,76,1906803.23717692,712787.66339867
0,77,1906169.29643790,713824.92628328
0,78,1905793.71192395,715969.24775036
0,79,1904708.06870675,716379.46847429
0,80,1905124.73863733,717482.51168655
0,81,1905636.19330116,717586.15278469
0,82,1904976.25236265,717960.34851101
0,83,1904404.07577251,718909.49376588
0,84,1903698.12022781,717461.51529162
0,85,1903289.72054636,717789.15135968
0,86,1902992.04291479,717089.58491667
0,87,1902372.99440111,717762.42085551
0,88,1902783.65025817,716842.45172887
0,89,1902603.67990870,716228.44439623
0,90,1902815.75169732,714329.40252714
0,91,1902538.52146731,713709.71641324
0,92,1902938.46359700,714096.38736349
0,93,1903651.52526554,712912.74514958
0,94,1903645.72407516,713757.04581832
0,95,1904264.35549476,713003.60072189
0,96,1904099.84220930,712196.52026926
0,97,1904619.98275847,711550.90573520
0,98,1902603.22279745,712329.46453756
Total signed area in input: 1.277306e+08
Total signed area in output: 1.277306e+08
Total areal displacement: 9.544555e+06
