ring_id,vertex_id,x,y
0,0,-1760610.17667750,-587460.06547777
0,1,-1761082.22106921,-588078.68137212
0,2,-1759087.33532930,-590740.01807378
0,3,-1758613.93135182,-592418.33637149
0,4,-1757643.28288517,-592696.53715815
0,5,-1757627.69388754,-593248.56256040
0,6,-1756411.18449278,-594153.56209949
0,7,-1755758.00711347,-595901.58115207
0,8,-1755308.25369009,-596264.65093087
0,9,-1754352.92753566,-598496.46239870
0,10,-1754606.57918977,-599240.55690145
0,11,-1753742.64938883,-600051.21712115
0,12,-1753152.38219909,-601900.78800887
0,13,-1752471.78974475,-601908.85974662
0,14,-1751125.91217416,-603516.95489610
0,15,-1750367.29955774,-605123.21372524
0,16,-1751354.76943519,-606646.92129488
0,17,-1750049.94059594,-607879.29685143
0,18,-1749459.30574596,-609795.09005153
0,19,-1749168.35109539,-612489.02217373
0,20,-1748512.52613262,-614424.01299856
0,21,-1749012.82863454,-617304.41565867
0,22,-1747718.76752709,-617476.75354835
0,23,-1746642.81210330,-619612.26975800
0,24,-1746671.35353430,-620508.88456231
0,25,-1745840.34584983,-621042.62585376
0,26,-1745790.47049295,-623185.85594807
0,27,-1744518.73174063,-623505.83960371
0,28,-1744755.62482419,-625532.60588677
0,29,-1743044.23573558,-627392.70733408
0,30,-1741675.59623548,-627458.59908316
0,31,-1740097.14641621,-629046.48752095
0,32,-1738487.04930001,-628655.91190371
0,33,-1737598.56812121,-627059.90227894
0,34,-1738293.03993664,-626506.82495517
0,35,-1737920.06909345,-624525.24570374
0,36,-1737375.99665115,-625044.68308800
0,37,-1737749.53212144,-625637.86775517
0,38,-1737410.51749356,-627709.82954602
0,39,-1736827.81364239,-626304.07912192
0,40,-1736283.73370332,-626401.38797138
0,41,-1735508.65813781,-625429.16708671
0,42,-1735224.77418914,-624094.29944260
0,43,-1734533.40316789,-624231.84631112
0,44,-1733406.12531811,-623025.65829089
0,45,-1733161.13755241,-621865.00820159
0,46,-1732309.85198971,-622044.84546986
0,47,-1732266.23821164,-620178.28615634
0,48,-1731604.22546064,-621275.34319504
0,49,-1730062.12040563,-619970.01758355
0,50,-1728170.75761995,-620323.56852467
0,51,-1727793.65513090,-618662.13623636
0,52,-1728740.37897198,-618472.84501369
0,53,-1729634.63653179,-619219.08394814
0,54,-1729161.01022687,-618188.22592338
0,55,-1727685.27151590,-618660.37379729
0,56,-1729191.08150569,-617644.03367747
0,57,-1728714.20162513,-616207.95259566
0,58,-1728849.68893505,-617808.34788832
0,59,-1727642.94190324,-618612.75395974
0,60,-1727208.72002140,-617909.95313240
0,61,-1726725.46882854,-618371.61292293
0,62,-1726594.68712919,-617142.13779479
0,63,-1726049.98955757,-617296.05108917
0,64,-1725632.27073127,-614748.05631160
0,65,-1726237.00566568,-615252.96151239
0,66,-1726329.73925133,-616265.22607939
0,67,-1727055.73236322,-616702.40997680
0,68,-1726304.58718562,-614446.02924969
0,69,-1726223.23496885,-610572.36905985
0,70,-1726883.70513838,-606794.85548211
0,71,-1727740.29729096,-604303.65511073
0,72,-1729180.10339622,-601640.11164097
0,73,-1730480.03540745,-601393.63154264
0,74,-1731591.67805324,-599499.80589680
0,75,-1734025.34274406,-598587.26068246
0,76,-1735821.50809697,-599184.93269075
0,77,-1738314.42875191,-597512.40298098
0,78,-1740712.37273934,-594035.51545240
0,79,-1742974.08646637,-589140.39858984
0,80,-1743448.52482791,-586104.28807101
0,81,-1746008.05136995,-582610.83440103
0,82,-1748487.12360794,-577318.10365312
0,83,-1749449.33026192,-576650.98604768
0,84,-1749625.16002678,-575751.03472183
0,85,-1750931.14858331,-574969.42175708
0,86,-1751946.79447046,-574978.66795842
0,87,-1754498.78214029,-574297.39470941
0,88,-1755680.78238572,-574532.92507662
0,89,-1758872.84740507,-573201.72480976
0,90,-1759731.73855920,-573860.60495330
0,91,-1759878.06606549,-575622.22357632
0,92,-1761672.20694887,-575007.74483968
0,93,-1762648.64154955,-576393.11451190
0,94,-1762822.27903842,-578715.10418780
0,95,-1760573.75543141,-580945.93142138
0,96,-1760762.02485241,-582657.02839847
0,97,-1760469.02144772,-583668.88532132
0,98,-1760929.49569682,-584892.60731887
Total signed area in input: 9.432032e+08
Total signed area in output: 9.432032e+08
Total areal displacement: 1.499496e+07
