ring_id,vertex_id,x,y
0,0,-1932352.15324652,154548.08098575
0,1,-1932816.21031903,156107.49524618
0,2,-1935561.80958940,157258.58728926
0,3,-1936605.74580242,156977.53371709
0,4,-1936759.46463044,156212.16270404
0,5,-1937271.78701859,155965.16695841
0,6,-1938109.14168929,156269.15606237
0,7,-1938931.05272231,154350.56525859
0,8,-1939482.30738969,154232.32577651
0,9,-1939968.12449295,152509.11900746
0,10,-1939857.07409309,151674.84649810
0,11,-1941067.79238128,151958.59757202
0,12,-1941885.71247909,151765.84895380
0,13,-1942798.96946510,152041.45372571
0,14,-1944332.97493768,150744.68790229
0,15,-1944626.81791880,149644.36900537
0,16,-1945233.28198550,148475.22617925
0,17,-1946027.10767612,148095.86099271
0,18,-1946144.43189508,146834.32489675
0,19,-1947082.24333315,146637.21342301
0,20,-1947270.16931712,145740.61383568
0,21,-1947091.01053856,145168.35175874
0,22,-1947664.67077382,143802.78358874
0,23,-1948242.70182048,143302.49366426
0,24,-1948038.20436255,140643.15328808
0,25,-1947207.25843131,140239.16789506
0,26,-1946670.04800268,139376.08329398
0,27,-1946340.00289695,139379.61645202
0,28,-1945288.63801391,138223.34238521
0,29,-1945518.22143520,136423.77364583
0,30,-1946712.91246106,135786.24759643
0,31,-1946211.34518347,134797.97984537
0,32,-1946939.84493198,134113.15087207
0,33,-1946692.49086493,131857.97204345
0,34,-1945673.46075734,130358.21985816
0,35,-1945996.07018145,128616.26607049
0,36,-1946396.34483845,127502.95955086
0,37,-1945556.16625425,126548.31769514
0,38,-1946354.40054375,126607.38009301
0,39,-1946882.78345987,126106.92408345
0,40,-1947933.21613152,125766.85203063
0,41,-1947748.12238537,124914.00933171
0,42,-1946824.24853241,125154.98356048
0,43,-1945265.06847604,126543.71772998
0,44,-1945642.03784292,125094.76305026
0,45,-1945624.30856678,124101.04376221
0,46,-1944334.64137922,123098.47952068
0,47,-1944096.27996104,123192.86642067
0,48,-1942761.60563992,122400.29942496
0,49,-1941244.63803272,121832.16556294
0,50,-1941130.04183637,121486.28216601
0,51,-1941787.60100193,121572.33547450
0,52,-1941868.91313160,121250.38523839
0,53,-1941129.22517167,121328.04133674
0,54,-1940949.52898977,120786.61921454
0,55,-1940672.86738930,121308.43373883
0,56,-1940972.73163025,121789.31299355
0,57,-1940362.12077431,121999.78137789
0,58,-1940328.72029463,120752.16395042
0,59,-1940182.28552174,122030.41112308
0,60,-1938631.11380717,122125.16706697
0,61,-1937117.15054313,121974.38864047
0,62,-1936142.13932840,122400.13719328
0,63,-1935351.00212714,123139.18798654
0,64,-1934927.78043713,124588.23142971
0,65,-1935133.57218901,126325.17332972
0,66,-1934521.37976079,126697.10094407
0,67,-1934971.86172975,128129.60040716
0,68,-1933740.02180008,128435.31277516
0,69,-1933914.70334637,130080.29398120
0,70,-1933352.37700877,130378.03007431
0,71,-1933072.54397269,132018.98740823
0,72,-1932194.62989954,133823.00784742
0,73,-1931441.07037517,135798.31507280
0,74,-1931691.62641670,136194.49839098
0,75,-1931605.32957329,137352.63460052
0,76,-1930836.59520563,137440.35629714
0,77,-1930641.75637441,138185.44493109
0,78,-1930947.46111103,139125.19092383
0,79,-1931971.87988907,139803.72101615
0,80,-1930767.36323305,141675.89275458
0,81,-1930832.12329023,142220.24348692
0,82,-1929686.78179061,142335.73020138
0,83,-1929827.53229358,143385.89473766
0,84,-1928432.55957824,144294.94261325
0,85,-1928206.47231086,145540.68969800
0,86,-1927938.95771734,145931.26220577
0,87,-1927831.51297845,147065.12017904
0,88,-1927125.21458403,147503.79250461
0,89,-1926632.94686127,149466.94257497
0,90,-1926965.65345040,149913.41565738
0,91,-1925884.36501999,152257.34538827
0,92,-1926216.86752274,153122.96405875
0,93,-1925952.03788787,153861.10829272
0,94,-1927040.15323835,155123.44359659
0,95,-1928308.21927863,156028.28597577
0,96,-1928638.95900311,156492.65562171
0,97,-1930514.49370629,157045.00986531
0,98,-1931765.97553857,153997.97466750
Total signed area in input: 4.982084e+08
Total signed area in output: 4.982084e+08
Total areal displacement: 8.061042e+06
